 | Distribuição de receita por categoria e município | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30
 | Industrial | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
 | Pública | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
 | Coromandel | 4966988.894346843 | 4969784.511192423 | 4972580.128038003 | 4975375.744883583 | 4978171.361729163 | 4981295.8746742215 | 4973895.712435922 | 4966495.550197623 | 4959095.387959323 | 4951695.225721022 | 4944295.063482723 | 4929988.083155344 | 4915681.1028279625 | 4901374.122500585 | 4887067.142173205 | 4872431.265746345 | 4851875.259528845 | 4831319.253311346 | 4810763.247093846 | 4790207.240876348 | 4769815.682708588 | 4749259.676491088 | 4728703.670273589 | 4708147.664056089 | 4687591.657838589 | 4667035.651621089 | 4646479.645403591 | 4625923.639186092 | 4605367.632968591 | 4584811.626751091
 | Social | 792581.4660250877 | 793027.5620694007 | 793473.6581137136 | 793919.7541580263 | 794365.8502023394 | 794864.4281342184 | 793683.5856639784 | 792502.7431937384 | 791321.9007234983 | 790141.0582532585 | 788960.2157830185 | 786677.2536738877 | 784394.2915647571 | 782111.3294556265 | 779828.3673464957 | 777492.9233497989 | 774212.80537691 | 770932.687404021 | 767652.5694311322 | 764372.4514582434 | 761118.5744291377 | 757838.4564562485 | 754558.3384833599 | 751278.2205104709 | 747998.1025375819 | 744717.9845646931 | 741437.8665918042 | 738157.7486189154 | 734877.6306460263 | 731597.5126731376
 | Residencial (Fixa) | 90099.87945360201 | 90150.59121200193 | 90201.30297040186 | 90252.01472880178 | 90302.7264872017 | 90359.40433482514 | 90225.16732729593 | 90090.93031976672 | 89956.69331223752 | 89822.45630470832 | 89688.21929717912 | 89428.69441595598 | 89169.16953473285 | 88909.64465350972 | 88650.1197722866 | 88384.62880183995 | 88011.74822536994 | 87638.86764889993 | 87265.98707242993 | 86893.10649595992 | 86523.20896410166 | 86150.32838763164 | 85777.44781116163 | 85404.56723469161 | 85031.6866582216 | 84658.8060817516 | 84285.92550528157 | 83913.04492881156 | 83540.16435234156 | 83167.28377587155
 | Residencial (0 a 5 m³) | 596646.9901673347 | 596982.8065768448 | 597318.6229863549 | 597654.439395865 | 597990.2558053753 | 598365.580027769 | 597476.6542378891 | 596587.7284480094 | 595698.8026581295 | 594809.8768682496 | 593920.9510783699 | 592202.3612179356 | 590483.7713575012 | 588765.181497067 | 587046.5916366325 | 585288.4939633147 | 582819.2556580929 | 580350.0173528712 | 577880.7790476496 | 575411.5407424278 | 572962.0563436479 | 570492.8180384261 | 568023.5797332044 | 565554.3414279828 | 563085.103122761 | 560615.8648175392 | 558146.6265123177 | 555677.3882070959 | 553208.149901874 | 550738.9115966524
 | Residencial (> 5m³ a 10m³) | 821460.629372776 | 821922.9797468766 | 822385.3301209772 | 822847.680495078 | 823310.0308691788 | 823826.7754049383 | 822602.9067676129 | 821379.0381302875 | 820155.1694929622 | 818931.3008556371 | 817707.4322183115 | 815341.2861861491 | 812975.1401539866 | 810608.9941218246 | 808242.8480896621 | 805822.3078958411 | 802422.6727921593 | 799023.0376884778 | 795623.4025847964 | 792223.7674811147 | 788851.3294582628 | 785451.6943545812 | 782052.0592508996 | 778652.4241472181 | 775252.7890435365 | 771853.153939855 | 768453.5188361736 | 765053.883732492 | 761654.2486288104 | 758254.6135251289
 | Residencial (> 10m³ a 15m³) | 686793.0727998066 | 687179.6269726842 | 687566.1811455619 | 687952.7353184394 | 688339.2894913171 | 688771.3206257098 | 687748.0889916219 | 686724.8573575339 | 685701.6257234461 | 684678.3940893582 | 683655.1624552703 | 681676.914629367 | 679698.6668034636 | 677720.4189775605 | 675742.1711516571 | 673718.4463642389 | 670876.1362695502 | 668033.8261748615 | 665191.5160801728 | 662349.2059854843 | 659529.6343715532 | 656687.3242768644 | 653845.0141821759 | 651002.7040874872 | 648160.3939927984 | 645318.0838981098 | 642475.7738034212 | 639633.4637087326 | 636791.1536140438 | 633948.8435193553
 | Residencial (> 15m³ a 20m³) | 425417.20459930797 | 425656.646146063 | 425896.08769281796 | 426135.52923957293 | 426374.97078632796 | 426642.5819268189 | 426008.76606776146 | 425374.9502087041 | 424741.13434964675 | 424107.3184905894 | 423473.502631532 | 422248.125304021 | 421022.7479765101 | 419797.3706489993 | 418571.9933214883 | 417318.4464002416 | 415557.8467917489 | 413797.24718325614 | 412036.64757476345 | 410276.04796627077 | 408529.533154646 | 406768.93354615325 | 405008.3339376606 | 403247.73432916787 | 401487.1347206751 | 399726.53511218244 | 397965.9355036898 | 396205.3358951971 | 394444.73628670437 | 392684.1366782117
 | Residencial (> 20m³ a 40m³) | 391545.63509206666 | 391766.012386351 | 391986.3896806354 | 392206.76697491977 | 392427.1442692042 | 392673.44830399257 | 392090.0966426516 | 391506.7449813106 | 390923.39331996965 | 390340.0416586286 | 389756.68999728764 | 388628.8767853618 | 387501.0635734358 | 386373.25036151 | 385245.43714958406 | 384091.6971971541 | 382471.27591565147 | 380850.8546341487 | 379230.43335264595 | 377610.0120711433 | 376002.55415989255 | 374382.1328783898 | 372761.7115968871 | 371141.29031538434 | 369520.8690338816 | 367900.4477523789 | 366280.0264708762 | 364659.6051893735 | 363039.1839078707 | 361418.762626368
 | Residencial (>40m³) | 47524.98651516471 | 47551.735448112595 | 47578.48438106047 | 47605.23331400835 | 47631.982246956235 | 47661.878113192106 | 47591.07211421241 | 47520.26611523273 | 47449.46011625305 | 47378.65411727336 | 47307.848118293674 | 47170.95652026628 | 47034.0649222389 | 46897.17332421151 | 46760.28172618411 | 46620.24319486874 | 46423.55986436961 | 46226.87653387048 | 46030.19320337135 | 45833.50987287224 | 45638.4000090171 | 45441.71667851797 | 45245.03334801886 | 45048.350017519726 | 44851.666687020595 | 44654.98335652147 | 44458.30002602234 | 44261.616695523226 | 44064.933365024095 | 43868.25003452497
 | Comercial | 800452.4371305235 | 800902.9632671683 | 801353.4894038131 | 801804.0155404576 | 802254.5416771027 | 802758.0708886466 | 801565.5017034105 | 800372.9325181744 | 799180.3633329382 | 797987.7941477019 | 796795.2249624658 | 794489.5912043427 | 792183.9574462192 | 789878.323688096 | 787572.6899299726 | 785214.05309695 | 781901.3609157385 | 778588.668734527 | 775275.9765533152 | 771963.2843721036 | 768677.0937283416 | 765364.4015471301 | 762051.7093659185 | 758739.0171847069 | 755426.3250034952 | 752113.6328222838 | 748800.940641072 | 745488.2484598604 | 742175.5562786488 | 738862.8640974372
 | Industrial | 114579.5831574221 | 114644.0730565638 | 114708.5629557055 | 114773.05285484719 | 114837.54275398894 | 114909.61970008847 | 114738.9111435369 | 114568.20258698532 | 114397.49403043374 | 114226.78547388216 | 114056.07691733059 | 113726.04037466417 | 113396.00383199778 | 113065.9672893314 | 112735.93074666499 | 112398.30715704076 | 111924.11672217525 | 111449.92628730975 | 110975.73585244424 | 110501.54541757876 | 110031.14850619217 | 109556.95807132665 | 109082.76763646114 | 108608.57720159563 | 108134.38676673011 | 107660.1963318646 | 107186.0058969991 | 106711.81546213361 | 106237.62502726808 | 105763.4345924026
 | Pública | 199887.01003375094 | 199999.5143103558 | 200112.01858696068 | 200224.5228635655 | 200337.02714017042 | 200462.76721402296 | 200164.96177595117 | 199867.15633787945 | 199569.35089980773 | 199271.54546173598 | 198973.74002366426 | 198397.9828433922 | 197822.2256631202 | 197246.4684828482 | 196670.71130257612 | 196081.71832505648 | 195254.48099707943 | 194427.24366910238 | 193600.0063411253 | 192772.7690131483 | 191952.14958379508 | 191124.91225581797 | 190297.67492784094 | 189470.43759986392 | 188643.20027188683 | 187815.96294390978 | 186988.72561593272 | 186161.4882879557 | 185334.2509599786 | 184507.0136320016
 | Cruzeiro da Fortaleza | 513137.08263196837 | 513700.04158164683 | 514263.0005313254 | 514825.959481004 | 515388.91843068256 | 516233.3568552002 | 516092.61711778055 | 515951.8773803608 | 515811.13764294126 | 515670.3979055217 | 515248.1786932628 | 514122.2607939058 | 512996.34289454867 | 511870.42499519174 | 510744.5070958347 | 509759.3289338972 | 508070.4520848618 | 506381.5752358262 | 504692.6983867906 | 503003.82153775496 | 501314.9446887196 | 499626.06783968385 | 497937.19099064835 | 496248.31414161285 | 494559.43729257735 | 492870.5604435418 | 491181.6835945062 | 489492.80674547056 | 487803.92989643506 | 486115.05304739956
 | Social | 186302.04205114534 | 186506.43266228205 | 186710.82327341882 | 186915.2138845556 | 187119.60449569233 | 187426.1904123974 | 187375.09275961327 | 187323.99510682904 | 187272.89745404487 | 187221.79980126073 | 187068.50684290813 | 186659.72562063465 | 186250.94439836114 | 185842.16317608766 | 185433.38195381415 | 185075.69838432485 | 184462.5265509146 | 183849.35471750435 | 183236.18288409413 | 182623.01105068385 | 182009.83921727363 | 181396.6673838634 | 180783.49555045314 | 180170.3237170429 | 179557.15188363264 | 178943.98005022242 | 178330.80821681215 | 177717.63638340193 | 177104.46454999168 | 176491.29271658143
 | Residencial (Fixa) | 9413.064370804173 | 9423.391375050804 | 9433.718379297436 | 9444.045383544066 | 9454.372387790698 | 9469.862894160644 | 9467.281143098986 | 9464.699392037328 | 9462.11764097567 | 9459.535889914012 | 9451.79063672904 | 9431.136628235776 | 9410.482619742514 | 9389.828611249251 | 9369.17460275599 | 9351.102345324387 | 9320.121332584495 | 9289.1403198446 | 9258.159307104708 | 9227.178294364816 | 9196.197281624922 | 9165.21626888503 | 9134.235256145135 | 9103.254243405241 | 9072.273230665349 | 9041.292217925456 | 9010.311205185562 | 8979.33019244567 | 8948.349179705778 | 8917.368166965884
 | Residencial (0 a 5 m³) | 41146.02481280596 | 41191.165816440414 | 41236.306820074875 | 41281.44782370932 | 41326.58882734378 | 41394.300332795465 | 41383.01508188684 | 41371.729830978235 | 41360.44458006962 | 41349.159329161004 | 41315.30357643517 | 41225.02156916625 | 41134.739561897346 | 41044.45755462844 | 40954.175547359526 | 40875.17879099923 | 40739.75578009587 | 40604.33276919249 | 40468.90975828913 | 40333.48674738577 | 40198.0637364824 | 40062.64072557903 | 39927.217714675666 | 39791.794703772306 | 39656.37169286893 | 39520.948681965565 | 39385.5256710622 | 39250.10266015884 | 39114.67964925547 | 38979.256638352104
 | Residencial (> 5m³ a 10m³) | 47313.81452704187 | 47365.72216777367 | 47417.62980850548 | 47469.537449237294 | 47521.4450899691 | 47599.3065510668 | 47586.32964088385 | 47573.3527307009 | 47560.37582051796 | 47547.398910335 | 47508.46817978615 | 47404.65289832253 | 47300.83761685891 | 47197.022335395304 | 47093.20705393169 | 47002.368682651024 | 46846.64576045561 | 46690.92283826019 | 46535.19991606477 | 46379.47699386935 | 46223.754071673924 | 46068.03114947851 | 45912.30822728308 | 45756.58530508767 | 45600.86238289224 | 45445.13946069682 | 45289.4165385014 | 45133.69361630598 | 44977.97069411056 | 44822.24777191515
 | Residencial (> 10m³ a 15m³) | 39010.43004886234 | 39053.228107061856 | 39096.02616526138 | 39138.824223460906 | 39181.62228166042 | 39245.8193689597 | 39235.119854409815 | 39224.420339859935 | 39213.72082531006 | 39203.02131076018 | 39170.92276711054 | 39085.326650711504 | 38999.73053431246 | 38914.134417913425 | 38828.53830151438 | 38753.64169966522 | 38625.24752506666 | 38496.853350468096 | 38368.45917586954 | 38240.06500127098 | 38111.67082667242 | 37983.27665207386 | 37854.8824774753 | 37726.48830287674 | 37598.094128278186 | 37469.69995367963 | 37341.30577908106 | 37212.911604482506 | 37084.51742988395 | 36956.12325528539
 | Residencial (> 15m³ a 20m³) | 28009.99486152205 | 28040.72442253304 | 28071.453983544037 | 28102.183544555035 | 28132.91310556603 | 28179.00744708252 | 28171.32505682977 | 28163.642666577023 | 28155.960276324276 | 28148.27788607153 | 28125.230715313282 | 28063.771593291287 | 28002.312471269302 | 27940.853349247307 | 27879.39422722532 | 27825.61749545608 | 27733.42881242309 | 27641.240129390106 | 27549.051446357123 | 27456.862763324134 | 27364.674080291155 | 27272.485397258166 | 27180.296714225176 | 27088.108031192194 | 26995.919348159205 | 26903.730665126222 | 26811.541982093237 | 26719.353299060254 | 26627.16461602727 | 26534.975932994283
 | Residencial (> 20m³ a 40m³) | 25504.65006666787 | 25532.63103218259 | 25560.611997697313 | 25588.592963212035 | 25616.573928726753 | 25658.545376998834 | 25651.550135620153 | 25644.55489424147 | 25637.559652862798 | 25630.564411484116 | 25609.578687348076 | 25553.616756318635 | 25497.65482528919 | 25441.69289425975 | 25385.730963230308 | 25336.764273579545 | 25252.821377035383 | 25168.87848049122 | 25084.935583947063 | 25000.992687402897 | 24917.04979085874 | 24833.106894314576 | 24749.163997770407 | 24665.221101226252 | 24581.278204682087 | 24497.335308137925 | 24413.392411593763 | 24329.449515049604 | 24245.50661850544 | 24161.56372196128
 | Residencial (>40m³) | 6140.302898423993 | 6147.039379936251 | 6153.77586144851 | 6160.512342960769 | 6167.2488244730275 | 6177.353546741416 | 6175.669426363351 | 6173.985305985287 | 6172.301185607223 | 6170.617065229158 | 6165.564704094963 | 6152.091741070445 | 6138.618778045928 | 6125.145815021408 | 6111.672851996892 | 6099.884009350438 | 6079.674564813661 | 6059.465120276885 | 6039.255675740108 | 6019.046231203331 | 5998.836786666555 | 5978.627342129778 | 5958.417897593001 | 5938.208453056224 | 5917.999008519448 | 5897.789563982671 | 5877.5801194458945 | 5857.370674909118 | 5837.161230372341 | 5816.951785835565
 | Comercial | 77205.28771050442 | 77289.9890683876 | 77374.69042627075 | 77459.39178415392 | 77544.09314203709 | 77671.14517886184 | 77649.96983939104 | 77628.79449992024 | 77607.61916044947 | 77586.44382097866 | 77522.91780256628 | 77353.51508679996 | 77184.11237103363 | 77014.70965526732 | 76845.30693950098 | 76697.07956320544 | 76442.97548955596 | 76188.87141590645 | 75934.76734225695 | 75680.66326860746 | 75426.55919495798 | 75172.45512130848 | 74918.35104765897 | 74664.24697400948 | 74410.14290035999 | 74156.03882671052 | 73901.93475306101 | 73647.8306794115 | 73393.72660576201 | 73139.62253211254
 | Industrial | 4616.649676886118 | 4621.714569565093 | 4626.779462244069 | 4631.844354923044 | 4636.90924760202 | 4644.506586620482 | 4643.240363450738 | 4641.974140280994 | 4640.707917111252 | 4639.441693941508 | 4635.6430244322755 | 4625.513239074325 | 4615.383453716374 | 4605.253668358423 | 4595.123883000472 | 4586.2603208122655 | 4571.065642775339 | 4555.870964738412 | 4540.676286701486 | 4525.48160866456 | 4510.286930627633 | 4495.092252590707 | 4479.89757455378 | 4464.702896516855 | 4449.508218479928 | 4434.313540443002 | 4419.118862406075 | 4403.924184369149 | 4388.729506332223 | 4373.534828295296
 | Pública | 48474.821607304235 | 48528.00298043348 | 48581.18435356273 | 48634.36572669197 | 48687.54709982121 | 48767.31915951507 | 48754.02381623276 | 48740.728472950446 | 48727.43312966814 | 48714.137786385836 | 48674.25175653889 | 48567.889010280414 | 48461.52626402193 | 48355.16351776344 | 48248.80077150496 | 48155.73336852878 | 47996.189249141054 | 47836.64512975333 | 47677.10101036561 | 47517.55689097788 | 47358.012771590154 | 47198.46865220243 | 47038.9245328147 | 46879.380413426974 | 46719.83629403924 | 46560.29217465152 | 46400.74805526379 | 46241.20393587607 | 46081.65981648834 | 45922.11569710062
 | Guimarânia | 1053951.4801815809 | 1063711.3660084195 | 1073471.2518352582 | 1083231.1376620966 | 1092991.023488935 | 1102634.7201987877 | 1111116.5257387783 | 1119598.331278769 | 1128080.1368187596 | 1136561.9423587504 | 1144927.5587817547 | 1151666.5275669529 | 1158405.496352151 | 1165144.465137349 | 1171883.433922547 | 1178854.7809417176 | 1183734.7238551371 | 1188614.6667685562 | 1193494.6096819756 | 1198374.5525953947 | 1203022.1172748418 | 1207902.060188261 | 1212782.00310168 | 1217661.9460150998 | 1222541.8889285186 | 1227421.831841938 | 1232301.7747553573 | 1237181.7176687766 | 1242061.660582196 | 1246941.6034956155
 | Social | 343721.22582802223 | 346904.18062568 | 350087.13542333787 | 353270.0902209956 | 356453.04501865344 | 359598.1074972915 | 362364.24678573216 | 365130.38607417286 | 367896.52536261355 | 370662.6646510543 | 373390.91162047524 | 375588.6661236199 | 377786.4206267646 | 379984.1751299093 | 382181.92963305395 | 384455.4687742381 | 386046.94617306703 | 387638.42357189587 | 389229.90097072476 | 390821.3783695537 | 392337.0711303431 | 393928.54852917197 | 395520.0259280009 | 397111.5033268298 | 398702.98072565865 | 400294.4581244876 | 401885.9355233165 | 403477.41292214545 | 405068.8903209743 | 406660.3677198032
 | Residencial (Fixa) | 19536.407115240338 | 19717.319715579903 | 19898.232315919468 | 20079.14491625903 | 20260.057516598597 | 20438.816395505546 | 20596.038060086357 | 20753.25972466717 | 20910.48138924798 | 21067.703053828795 | 21222.770996976993 | 21347.686840068596 | 21472.6026831602 | 21597.518526251803 | 21722.434369343406 | 21851.657655300238 | 21942.11395547002 | 22032.570255639803 | 22123.026555809585 | 22213.482855979368 | 22299.63171328392 | 22390.088013453707 | 22480.544313623486 | 22571.00061379327 | 22661.456913963048 | 22751.91321413283 | 22842.369514302613 | 22932.825814472395 | 23023.282114642185 | 23113.73841481196
 | Residencial (0 a 5 m³) | 85396.79112468282 | 86187.58932272861 | 86978.3875207744 | 87769.18571882017 | 88559.98391686598 | 89341.36785064932 | 90028.60914180816 | 90715.850432967 | 91403.09172412584 | 92090.33301528469 | 92768.16004218109 | 93314.18736940315 | 93860.21469662525 | 94406.24202384736 | 94952.26935106945 | 95517.12520681645 | 95912.52430583932 | 96307.92340486222 | 96703.32250388512 | 97098.72160290802 | 97475.29217340601 | 97870.69127242891 | 98266.09037145179 | 98661.4894704747 | 99056.88856949758 | 99452.28766852048 | 99847.68676754338 | 100243.08586656628 | 100638.48496558917 | 101033.88406461205
 | Residencial (> 5m³ a 10m³) | 98197.77134874673 | 99107.11020811115 | 100016.44906747557 | 100925.78792684 | 101835.12678620445 | 102733.64018295739 | 103523.89895359552 | 104314.15772423365 | 105104.41649487177 | 105894.67526550991 | 106674.10857353656 | 107301.98540500249 | 107929.8622364684 | 108557.73906793431 | 109185.61589940022 | 109835.14365608909 | 110289.81308577131 | 110744.48251545354 | 111199.15194513575 | 111653.82137481797 | 112086.8398792772 | 112541.50930895942 | 112996.17873864164 | 113450.84816832385 | 113905.51759800606 | 114360.18702768827 | 114814.85645737048 | 115269.52588705272 | 115724.19531673493 | 116178.86474641715
 | Residencial (> 10m³ a 15m³) | 82071.36964985763 | 82831.37351388454 | 83591.37737791144 | 84351.38124193835 | 85111.38510596524 | 85862.34130494422 | 86522.82085344379 | 87183.30040194334 | 87843.77995044291 | 88504.2594989425 | 89155.69138239413 | 89680.45595517459 | 90205.2205279551 | 90729.98510073556 | 91254.74967351604 | 91797.6095763924 | 92177.61150840585 | 92557.61344041931 | 92937.61537243276 | 93317.6173044462 | 93679.52390636379 | 94059.52583837725 | 94439.52777039068 | 94819.52970240415 | 95199.53163441761 | 95579.53356643104 | 95959.5354984445 | 96339.53743045795 | 96719.5393624714 | 97099.54129448485
 | Residencial (> 15m³ a 20m³) | 58928.30812916478 | 59474.000763146694 | 60019.6933971286 | 60565.386031110495 | 61111.07866509239 | 61650.27495819357 | 62124.50784248736 | 62598.74072678115 | 63072.97361107494 | 63547.20649536875 | 64014.94303878181 | 64391.73080986455 | 64768.51858094729 | 65145.306352030035 | 65522.09412311278 | 65911.87457595699 | 66184.72089294795 | 66457.56720993889 | 66730.41352692984 | 67003.25984392081 | 67263.11347915028 | 67535.95979614122 | 67808.80611313217 | 68081.65243012314 | 68354.49874711409 | 68627.34506410503 | 68900.19138109598 | 69173.03769808695 | 69445.8840150779 | 69718.73033206884
 | Residencial (> 20m³ a 40m³) | 53657.48495440667 | 54154.368289890095 | 54651.25162537352 | 55148.13496085694 | 55645.01829634037 | 56135.98635402043 | 56567.801633666735 | 56999.616913313046 | 57431.43219295935 | 57863.24747260567 | 58289.1474744486 | 58632.2335870443 | 58975.31969964001 | 59318.405812235695 | 59661.491924831396 | 60016.40859303385 | 60264.85026077556 | 60513.291928517276 | 60761.733596258986 | 61010.175264000696 | 61246.78637613566 | 61495.22804387738 | 61743.66971161909 | 61992.11137936081 | 62240.55304710252 | 62488.99471484423 | 62737.43638258595 | 62985.87805032766 | 63234.319718069375 | 63482.761385811085
 | Residencial (>40m³) | 12918.162355745271 | 13037.788156415827 | 13157.41395708638 | 13277.039757756937 | 13396.665558427492 | 13514.8672424234 | 13618.827759672806 | 13722.788276922218 | 13826.748794171626 | 13930.709311421038 | 14033.245711995802 | 14115.844479125468 | 14198.44324625514 | 14281.042013384806 | 14363.640780514475 | 14449.087780993445 | 14508.90068132872 | 14568.713581663998 | 14628.526481999275 | 14688.339382334554 | 14745.304049320532 | 14805.11694965581 | 14864.929849991087 | 14924.742750326363 | 14984.555650661641 | 15044.368550996918 | 15104.181451332197 | 15163.994351667476 | 15223.80725200275 | 15283.620152338028
