tribunal,numero,ano,data_sessao,tipo,relator,colegiado,assunto,resumo_ia,url,verificado,flag
TCU,141-PR,2023,2023-01-24,acordao,WALTON ALENCAR RODRIGUES,Primeira Câmara,,"O Tribunal de Contas da União analisou uma representação contra o Pregão Eletrônico 32/2022, conduzido pela Codevasf, relacionado à contratação de serviços de operação e manutenção. As empresas representadas questionaram requisitos de habilitação, desatualização da planilha orçamentária, exigências de formação de engenheiros e a falta de publicidade nas respostas a questionamentos. A decisão não foi finalizada no texto fornecido, mas as questões levantadas foram registradas.",https://pesquisa.apps.tcu.gov.br/documento/acordao-completo/ACORDAO-COMPLETO-2571029/,false,[VIT]
TCU,1445,2022,2022-06-22,acordao,AUGUSTO SHERMAN,plenario,ACÓRDÃO 1445/2022 ATA 23/2022 - PLENÁRIO,"O Tribunal de Contas da União decidiu, em relação ao Pregão Eletrônico para registro de preços para aquisição de botas táticas, que houve desclassificação indevida de licitante com proposta mais vantajosa sem a devida diligência para esclarecimentos. Foram identificadas falhas na elaboração da estimativa de preços, com indícios de superfaturamento. A decisão acolheu parcialmente a representação, afastando as falhas metodológicas na pesquisa de preços e determinou medidas saneadoras, resultando no arquivamento do processo.",https://contas.tcu.gov.br/pesquisaJurisprudencia/#/detalhamento/11/*/KEY:%22ACORDAO-COMPLETO-2534467%22/DTRELEVANCIA%2520desc%252C%2520NUMACORDAOINT%2520desc/false/1/false,false,[VIT]
TCU,1467-P,2026,2026-06-10,acordao,ANTONIO ANASTASIA,Plenário,"REPRESENTAÇÃO. Representação referente à licitação com número 900032026, modalidade Pregão e Uasg 200053 (Objeto: Contratação de empresa especializada na prestação de serviços continuados com dedicação exclusiva de mão de obra (auxiliar administrativo, auxiliar de serviços gerais, copeira, recepcionista e telefonista) para a Procuradoria da República no Estado do Paraná e suas unidades jurisdicionadas.)","O Tribunal de Contas da União analisou uma representação sobre o Pregão Eletrônico 90003/2026, relacionado à contratação de serviços para a Procuradoria da República no Estado do Paraná. A decisão considerou que a exigência de cômputo de contratos de Sociedades de Propósito Específico (SPEs) na habilitação econômico-financeira está de acordo com a Lei 14.133/2021. As justificativas apresentadas pelo órgão demonstraram que as regras editalícias têm base técnica e jurídica, visando mitigar riscos na contratação.",https://pesquisa.apps.tcu.gov.br/documento/acordao-completo/ACORDAO-COMPLETO-2768920/,false,[VIT]
TCU,1646-P,2025,2025-07-23,acordao,JORGE OLIVEIRA,Plenário,"REPRESENTAÇÃO. Representação referente à licitação com número 900062024, modalidade Pregão e Uasg 926834 (Objeto: contratação de empresa especializada na prestação de serviços de dedicação exclusiva de mão de obra para os cargos: auxiliar administrativo, auxiliar de serviços de copa, recepcionista telefonista, analista de suporte técnico, analista administrador de banco de dados e analista de comunicação social.)","O Tribunal de Contas da União analisou uma representação referente ao Pregão Eletrônico 90006/2024, realizado pelo Coren/GO, para contratação de serviços de mão de obra. A representação apontou indícios de irregularidades e ofensas a normas de licitação. Após análise, foram confirmadas falhas relacionadas à fixação de salários-base superiores aos previstos em convenções coletivas e à falta de clareza no ato convocatório sobre os salários aceitos nas propostas de preço.",https://pesquisa.apps.tcu.gov.br/documento/acordao-completo/ACORDAO-COMPLETO-2722193/,false,[VIT]
TCU,165,2012,2012-02-01,acordao,AROLDO CEDRAZ,plenario,ACÓRDÃO 165/2012 ATA 3/2012 - PLENÁRIO,"O Tribunal de Contas da União decidiu sobre uma representação relacionada ao pregão eletrônico para manutenção preventiva e corretiva de instalações da Presidência da República. O pleito de medida cautelar foi indeferido e houve a audiência dos responsáveis. Foi exigido um quantitativo mínimo para comprovação de capacidade técnico-profissional. As razões de justificativa foram acolhidas parcialmente e a representação foi considerada parcialmente procedente, com ciência ao órgão licitante.",https://contas.tcu.gov.br/pesquisaJurisprudencia/#/detalhamento/11/*/KEY:%22ACORDAO-COMPLETO-1217166%22/DTRELEVANCIA%2520desc%252C%2520NUMACORDAOINT%2520desc/false/1/false,false,[VIT]
TCU,1677-P,2020,2020-07-01,acordao,AUGUSTO SHERMAN,Plenário,,"O Tribunal de Contas da União analisou uma representação sobre possíveis irregularidades no edital do Pregão Eletrônico 1/2020 do Departamento de Polícia Federal. As alegações incluíam a imposição de um desconto mínimo e a exigência de instalação de escritório fixo. O tribunal concluiu que a fixação do desconto não violava a lei e que a exigência de escritório era razoável para atender às necessidades do órgão. Assim, as alegações foram consideradas improcedentes.",https://pesquisa.apps.tcu.gov.br/documento/acordao-completo/ACORDAO-COMPLETO-2413630/,false,[VIT]
TCU,1697,2023,2023-08-16,acordao,JORGE OLIVEIRA,plenario,ACÓRDÃO 1697/2023 ATA 34/2023 - PLENÁRIO,"O Tribunal de Contas da União tratou de uma representação relacionada à prestação de serviços de limpeza hospitalar. A decisão indeferiu a cautelar e determinou a oitiva, além de tratar da exigência de atestado de capacidade técnica. A participação de empresas em recuperação judicial foi discutida, com a decisão de que não pode ser impeditiva se a empresa demonstrar capacidade econômico-financeira.",https://contas.tcu.gov.br/pesquisaJurisprudencia/#/detalhamento/11/*/KEY:%22ACORDAO-COMPLETO-2603170%22/DTRELEVANCIA%2520desc%252C%2520NUMACORDAOINT%2520desc/false/1/false,false,[VIT]
TCU,1836-PR,2011,2011-03-29,acordao,UBIRATAN AGUIAR,Primeira Câmara,,"O Tribunal de Contas da União decidiu conhecer da representação e considerá-la procedente. Determinou ao Município de Mantenópolis/ES que se abstenha de incluir certas exigências nos atos convocatórios das futuras licitações. As exigências referem-se à apresentação de alvará de licença, prazo para depósito de garantia de participação e certidões negativas, por ausência de previsão legal.",https://pesquisa.apps.tcu.gov.br/documento/acordao-completo/ACORDAO-COMPLETO-1175816/,false,[VIT]
TCU,1865-P,2026,2026-07-15,acordao,ODAIR CUNHA,Plenário,"REPRESENTAÇÃO. Representação referente à licitação com número 7004574445, modalidade Pregão (Objeto: Contratação de serviços especializados de engenharia, planejamento e gestão empresarial, incluindo apoio, execução, planejamento, controle, análise e desenvolvimento de rotinas de engenharia e gestão empresarial, com disponibilização de postos de serviço e execução de serviços adicionais em ambiente onshore e eventuais embarques offshore.)","O Tribunal de Contas da União analisou a representação referente à licitação número 7004574445 conduzida pela Petróleo Brasileiro S.A. e concluiu que não há indícios de irregularidades na documentação da licitante vencedora. A exigência de relatório de auditoria independente não é necessária para o exercício de 2025 e a alegação de 'jogo de planilha' foi considerada infundada. A representação foi considerada improcedente, pois não se evidenciou a preponderância do interesse público.",https://pesquisa.apps.tcu.gov.br/documento/acordao-completo/ACORDAO-COMPLETO-2774325/,false,[VIT]
TCU,2004,2015,2015-08-12,acordao,JOSÉ MUCIO MONTEIRO,plenario,ACÓRDÃO 2004/2015 ATA 32/2015 - PLENÁRIO,"Foi realizada uma Tomada de Contas Especial referente a obras de restauração na rodovia BR-226/MA. O processo de dispensa de licitação para contratação emergencial foi aprovado, mas a proposta da empresa contratada estava em desacordo com os valores referenciais do SICRO, resultando em superfaturamento. A responsabilidade dos agentes que aprovaram a contratação foi excluída, mas os responsáveis pelo exame da proposta foram condenados. As contas foram consideradas irregulares, com débito sem multa devido à prescrição da pretensão punitiva.",https://contas.tcu.gov.br/pesquisaJurisprudencia/#/detalhamento/11/*/KEY:%22ACORDAO-COMPLETO-1372126%22/DTRELEVANCIA%2520desc%252C%2520NUMACORDAOINT%2520desc/false/1/false,false,[VIT]
TCU,2158,2015,2015-08-26,acordao,MARCOS BEMQUERER,plenario,ACÓRDÃO 2158/2015 ATA 34/2015 - PLENÁRIO,"O Tribunal de Contas da União decidiu aplicar multa aos responsáveis por irregularidades na execução de um projeto básico deficiente, conforme auditado no Acórdão 2.490/2009. Apesar de ter sido identificado um sobrepreço de baixa materialidade, a falta de elementos exigidos pela Lei 8.666/1993 no projeto básico foi considerada uma irregularidade grave. O tribunal acolheu as justificativas apresentadas quanto ao sobrepreço, mas reafirmou a necessidade de conformidade com as exigências legais para a realização de obras públicas.",https://contas.tcu.gov.br/pesquisaJurisprudencia/#/detalhamento/11/*/KEY:%22ACORDAO-COMPLETO-1478935%22/DTRELEVANCIA%2520desc%252C%2520NUMACORDAOINT%2520desc/false/1/false,false,[VIT]
TCU,2429,2024,2024-11-13,acordao,BENJAMIN ZYMLER,plenario,ACÓRDÃO 2429/2024 ATA 46/2024 - PLENÁRIO,"O Tribunal de Contas da União decidiu sobre a contratação integrada para as obras do lote 6F da Ferrovia de Integração Oeste-Leste, destacando a modificação da vazão de projeto e a inadequação dos materiais pétreos. Foi reconhecida a possibilidade de reequilíbrio econômico-financeiro do contrato em caso de erro substancial e onerosidade excessiva, conforme o Código Civil. O acórdão também trouxe recomendações e comunicações pertinentes ao caso.",https://contas.tcu.gov.br/pesquisaJurisprudencia/#/detalhamento/11/*/KEY:%22ACORDAO-COMPLETO-2687675%22/DTRELEVANCIA%2520desc%252C%2520NUMACORDAOINT%2520desc/false/1/false,false,[VIT]
TCU,2504,2010,2010-09-22,acordao,MARCOS BEMQUERER,plenario,ACÓRDÃO 2504/2010 ATA 35/2010 - PLENÁRIO,"O Tribunal de Contas da União decidiu sobre a auditoria decorrente do Acórdão n. 2.490/2009, destacando deficiências no projeto básico e critérios inadequados de habilitação e julgamento em edital de licitação. Foi ressaltada a importância de seguir os limites legais estabelecidos na Constituição Federal e na Lei n. 8.666/1993. O projeto básico deve ser elaborado com precisão e assegurar a viabilidade técnica e o tratamento do impacto ambiental, evitando problemas na execução das obras.",https://contas.tcu.gov.br/pesquisaJurisprudencia/#/detalhamento/11/*/KEY:%22ACORDAO-COMPLETO-1158614%22/DTRELEVANCIA%2520desc%252C%2520NUMACORDAOINT%2520desc/false/1/false,false,[VIT]
TCU,2600-P,2015,2015-10-21,acordao,VITAL DO RÊGO,Plenário,,"O Tribunal de Contas da União analisou uma representação da empresa Construtech Projetos, Reformas e Comércio de Materiais de Construção Ltda. sobre irregularidades no Pregão Eletrônico 52/2011 da Fundação Universidade de Brasília. A representação foi considerada admissível, mas a empresa não apresentou recurso após ter seus itens reprovados. O edital do pregão foi criticado por utilizar termos vagos nos critérios de aceitação dos produtos.",https://pesquisa.apps.tcu.gov.br/documento/acordao-completo/ACORDAO-COMPLETO-1567859/,false,[VIT]
TCU,2743-P,2016,2016-10-26,acordao,MARCOS BEMQUERER,Plenário,"Representações de Deputado Federal e de empresa Performa Engenharia Eireli - ME a respeito de irregularidades em licitação promovida pelo Instituto Chico Mendes de Conservação da Biodiversidade para exploração de serviços de transporte ferroviário de passageiros na Estrada de Ferro do Corcovado - Trem do Corcovado, no Parque Nacional da Tijuca, Rio de Janeiro/RJ. Análise das oitivas.","O Tribunal de Contas da União analisou representações sobre irregularidades em licitação para serviços de transporte ferroviário de passageiros. Foi concedida cautelar e, após análise das oitivas, a cautelar foi revogada. O recurso da entidade licitante foi conhecido e a cautelar anteriormente concedida foi suspensa. A decisão também abordou a cumulação indevida de patrimônio líquido mínimo e garantia de execução contratual para fins de qualificação econômico-financeira.",https://pesquisa.apps.tcu.gov.br/documento/acordao-completo/ACORDAO-COMPLETO-2174941/,false,[VIT]
TCU,279-P,2018,2018-02-21,acordao,BRUNO DANTAS,Plenário,,"O Tribunal de Contas da União decidiu que o modelo de servidor Tipo 4 ofertado pela vencedora do certame atende às especificações do edital e do termo de referência, considerando improcedente a alegação de que o equipamento estaria desatualizado. As respostas e esclarecimentos relativos à licitação possuem caráter vinculante e devem ser harmonizados com as especificações do edital. O modelo ofertado está em comercialização e não foi descontinuado, e a concorrência no pregão foi considerada competitiva.",https://pesquisa.apps.tcu.gov.br/documento/acordao-completo/ACORDAO-COMPLETO-2296951/,false,[VIT]
TCU,2990-P,2025,2025-12-08,acordao,BRUNO DANTAS,Plenário,"REPRESENTAÇÃO. Representação referente à licitação com número 900022025, modalidade Pregão e Uasg 156763 (Objeto: Contratação de empresa especializada na prestação de serviços continuados de gestão de frota pública, incluindo abastecimento de combustíveis, manutenção mecânica preventiva e corretiva, e gerenciamento de pedágios e estacionamentos conveniados.)","O Tribunal de Contas da União analisou uma representação sobre o Pregão Eletrônico 90002/2025, referente à contratação de serviços de gestão de frota pública. Apesar de identificar falhas formais, como a ausência de justificativa para o não parcelamento do objeto e a falta de estimativas de custos, não foi verificado prejuízo à competitividade do certame. O processo contou com a participação de sete licitantes e não houve desclassificação de propostas.",https://pesquisa.apps.tcu.gov.br/documento/acordao-completo/ACORDAO-COMPLETO-2736743/,false,[VIT]
TCU,3062,2011,2011-11-23,acordao,VALMIR CAMPELO,plenario,ACÓRDÃO 3062/2011 ATA 51/2011 - PLENÁRIO,"A decisão tratou de obras de adequação rodoviária para a Copa do Mundo de 2014, destacando deficiências no projeto básico. Foi identificado investimento com duração superior a um ano sem constar no plano plurianual e a realização de licitação sem previsão orçamentária adequada. A licitação foi revogada e o objeto considerado perdido, com determinações para providências internas e arquivamento.",https://contas.tcu.gov.br/pesquisaJurisprudencia/#/detalhamento/11/*/KEY:%22ACORDAO-COMPLETO-1215556%22/DTRELEVANCIA%2520desc%252C%2520NUMACORDAOINT%2520desc/false/1/false,false,[VIT]
TCU,311-PR,2026,2026-01-27,acordao,JHONATAN DE JESUS,Primeira Câmara,REPRESENTAÇÃO. Representação referente ao contrato com número 42021 e Uasg 158195 (Objeto: Prestação de serviços de portaria e apoio administrativo.),"O Tribunal de Contas da União decidiu não conhecer a representação referente ao contrato 4/2021, celebrado entre a Universidade Federal de Campina Grande e Alerta Serviços Eireli, devido à ausência dos requisitos de admissibilidade. A decisão se baseou na jurisprudência que estabelece que o TCU não atua como instância revisora de penalidades contratuais aplicadas por seus jurisdicionados. A solução de controvérsias sobre multas deve ser buscada no Poder Judiciário, quando não há reflexo direto em prejuízo ao erário.",https://pesquisa.apps.tcu.gov.br/documento/acordao-completo/ACORDAO-COMPLETO-2741058/,false,[VIT]
TCU,510,2024,2024-03-27,acordao,WALTON ALENCAR RODRIGUES,plenario,ACÓRDÃO 510/2024 ATA 11/2024 - PLENÁRIO,"O Tribunal de Contas da União decidiu pela irregularidade das contas referentes ao contrato de dragagem de manutenção do canal aquaviário de acesso ao Porto de Santos, identificando superfaturamento devido a manipulação de planilhas e assinatura de termo aditivo irregular. A prescrição não foi considerada aplicável, resultando na exclusão de um responsável do polo passivo. Foram determinadas a imposição de débito e multa aos responsáveis pelas irregularidades.",https://contas.tcu.gov.br/pesquisaJurisprudencia/#/detalhamento/11/*/KEY:%22ACORDAO-COMPLETO-2608957%22/DTRELEVANCIA%2520desc%252C%2520NUMACORDAOINT%2520desc/false/1/false,false,[VIT]
TCU,63,2024,2024-01-24,acordao,VITAL DO RÊGO,plenario,ACÓRDÃO 63/2024 ATA 2/2024 - PLENÁRIO,"O Tribunal de Contas da União decidiu pela rejeição das razões de justificativa apresentadas em relação a um relatório de auditoria sobre a licitação para obras de contenção de encostas e macrodrenagem em Nova Friburgo/RJ. O projeto básico foi considerado deficiente, com inconsistências nos quantitativos de serviços. Como resultado, foi imposta uma multa ao gestor responsável e o pedido de reexame foi negado, pois os argumentos apresentados foram considerados insuficientes para reverter a decisão.",https://contas.tcu.gov.br/pesquisaJurisprudencia/#/detalhamento/11/*/KEY:%22ACORDAO-COMPLETO-2635075%22/DTRELEVANCIA%2520desc%252C%2520NUMACORDAOINT%2520desc/false/1/false,false,[VIT]
TCU,6923-SE,2025,2025-12-02,acordao,AROLDO CEDRAZ,Segunda Câmara,"REPRESENTAÇÃO. Representação referente à licitação com número 452025, modalidade Pregão e Uasg 457821 (Objeto: Aquisição de caminhão plataforma 6x2.)","O Tribunal de Contas da União decidiu sobre uma representação referente ao Pregão Eletrônico 45/2025 da Prefeitura Municipal de Serrita/PE. A decisão apontou que a cláusula do edital que restringia a participação de empresas a determinadas regiões comprometeu a competitividade do certame. A medida foi considerada irregular, pois excluiu empresas de fora das áreas delimitadas, resultando na declaração de deserto do pregão.",https://pesquisa.apps.tcu.gov.br/documento/acordao-completo/ACORDAO-COMPLETO-2734070/,false,[VIT]
TCU,8455-PR,2021,2021-05-25,acordao,WEDER DE OLIVEIRA,Primeira Câmara,,"O Tribunal de Contas da União decidiu, por unanimidade, conhecer da representação e considerá-la parcialmente procedente. O pedido de medida cautelar foi indeferido e o processo foi encerrado e arquivado. Foram identificadas impropriedades relacionadas à falta de republicação do edital do certame, que desrespeitou princípios administrativos.",https://pesquisa.apps.tcu.gov.br/documento/acordao-completo/ACORDAO-COMPLETO-2482637/,false,[VIT]
TCU,872,2016,2016-04-13,acordao,MARCOS BEMQUERER,plenario,ACÓRDÃO 872/2016 ATA 12/2016 - PLENÁRIO,"O Tribunal de Contas da União decidiu pela irregularidade na utilização de licitação pretérita para obras de saneamento básico e habitação popular em Sete Lagoas/MG, devido à inadequação do projeto básico e restrição à competitividade do certame. Algumas justificativas apresentadas foram rejeitadas, enquanto outras foram acolhidas. A decisão resultou na aplicação de multa aos responsáveis pela irregularidade, destacando a importância do cumprimento das exigências legais para a realização de obras públicas.",https://contas.tcu.gov.br/pesquisaJurisprudencia/#/detalhamento/11/*/KEY:%22ACORDAO-COMPLETO-1650317%22/DTRELEVANCIA%2520desc%252C%2520NUMACORDAOINT%2520desc/false/1/false,false,[VIT]
TCU,881-P,2024,2024-05-08,acordao,AROLDO CEDRAZ,Plenário,"DENÚNCIA. Denúncia referente ao contrato com número 282021 e códigoUasg 154041 (Objeto: CONTRATAÇÃO DE SERVIÇOS CONTINUADOS DE APOIO ADMINISTRATIVO E SERVIÇOS AUXILIARES, COM DISPONIBILIZAÇÃO DE MÃO DE OBRA EM REGIME DE DEDICAÇÃO EXCLUSIVA)","O Tribunal de Contas da União analisou uma denúncia sobre possíveis irregularidades no contrato 282021, relacionado à contratação de serviços de apoio administrativo. A decisão concluiu que a interpretação da UFMA sobre a contratação violou dispositivos da Constituição Federal e de leis pertinentes. A unidade técnica identificou que a contratação foi inadequada, não aferindo o resultado a ser atingido pela contratada.",https://pesquisa.apps.tcu.gov.br/documento/acordao-completo/ACORDAO-COMPLETO-2655605/,false,[VIT]
TCU,932,2013,2013-04-17,acordao,ANA ARRAES,plenario,ACÓRDÃO 932/2013 ATA 13/2013 - PLENÁRIO,"O Tribunal de Contas da União decidiu sobre uma representação relacionada a cláusulas restritivas em edital de licitação. Foi identificada a exigência de índice econômico-financeiro não usual e não justificado no processo licitatório. A decisão incluiu a concessão e revogação de cautelar, além da audiência dos responsáveis. As justificativas apresentadas foram consideradas improcedentes, resultando em multa e ciência aos interessados.",https://contas.tcu.gov.br/pesquisaJurisprudencia/#/detalhamento/11/*/KEY:%22ACORDAO-COMPLETO-1268664%22/DTRELEVANCIA%2520desc%252C%2520NUMACORDAOINT%2520desc/false/1/false,false,[VIT]
TCU,9718-PR,2022,2022-11-29,acordao,VITAL DO RÊGO,Primeira Câmara,,"O Tribunal de Contas da União decidiu conhecer da representação, considerando-a parcialmente procedente. Foram identificadas impropriedades e falhas na gestão da ARP 109/2021, relacionadas a pesquisa de preços, elaboração de estudo técnico preliminar e autorizações irregulares. O tribunal determinou que medidas internas sejam adotadas para prevenir ocorrências semelhantes e deu ciência às coordenações regionais da Funai sobre as falhas identificadas.",https://pesquisa.apps.tcu.gov.br/documento/acordao-completo/ACORDAO-COMPLETO-2558572/,false,[VIT]
TCU,978-P,2025,2025-05-07,acordao,WALTON ALENCAR RODRIGUES,Plenário,"REPRESENTAÇÃO. Representação referente à licitação com número 12024, modalidade Concorrência internacional (Objeto: concessão dos serviços de gestão da Ponte Rodoviária sobre o Rio Uruguai, que conecta as cidades de São Borja (Brasil) e Santo Tomé (Argentina), bem como do Complexo do Centro Unificado de Fronteira (CUF). )","O Tribunal de Contas da União decidiu deferir uma medida cautelar para suspender a Concorrência Internacional Edital de Concessão 1/2024, em razão de possíveis irregularidades apontadas na representação. As irregularidades incluem a exigência de qualificação técnica em operação de rodovias, discrepâncias nos dados de tráfego e a falta de reabertura do prazo após a republicação do edital. Posteriormente, a medida cautelar foi revogada, e a Comissão Mista Argentino-Brasileira (Comab) foi convocada para se pronunciar sobre as medidas adotadas para mitigação das questões levantadas.",https://pesquisa.apps.tcu.gov.br/documento/acordao-completo/ACORDAO-COMPLETO-2702814/,false,[VIT]
TCU,JURISPRUDENCIA-SELECIONADA-114194,2021,2021-06-09,acordao,,Plenário,Contrato Administrativo,"O Tribunal de Contas da União decidiu que não é possível imputar débito apenas com base em sobrepreço de itens isolados da planilha contratual. A avaliação do preço contratado deve considerar a totalidade do contrato, permitindo compensações entre itens com sobrepreço e subpreço. A decisão enfatiza a importância de verificar se os preços globais estão de acordo com as práticas de mercado e se as distorções pontuais representam risco para a Administração.",,false,[VIT]
TCU,JURISPRUDENCIA-SELECIONADA-116633,2021,2021-07-20,acordao,,Primeira Câmara,Licitação,"O Tribunal de Contas da União decidiu que, na contratação de serviços terceirizados não cobertos por convenção coletiva, a fixação de salários no edital de licitação é indevida. O valor no orçamento de referência deve ser considerado apenas uma estimativa. Além disso, não é permitido desclassificar licitantes que apresentem propostas com salários inferiores ao valor estimado.",,false,[VIT]
